duration,protocol_type,src_bytes,dst_bytes,count,srv_count,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,packet_size,flow_duration,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,flow_bytes_per_sec,flow_packets_per_sec,avg_packet_size,fwd_iat_mean,label
4.145901124007432,tcp,5542,263,266,5,187,32,0.3502,0.3334,77,58.63068919888955,7424,2,44682,15500,6861.87,464.9,761.13,4499.91,BruteForce
53.534517824907056,icmp,3282,1682,29,3,252,129,0.1908,0.4766,1145,83.75565221550796,16,48,9044,24561,1972.37,689.04,130.95,2510.18,BENIGN
0.6484531456563969,udp,4246,653,159,3,171,218,0.7469,0.0027,99,96.76431046591648,4622,1,8217,13533,74823.08,769.72,1350.07,2853.78,BotNet
2.316744594956694,tcp,32831,486,333,2,174,61,0.1917,0.264,79,46.024756937368736,5277,7,22147,34591,75761.91,812.4,1308.49,4395.68,PortScan
51.07885537457011,udp,3396,2588,38,15,135,120,0.0815,0.8994,66,105.03040360276918,8,53,2563,34725,45430.92,157.29,347.79,2225.6,BENIGN
1.3930030387984538,udp,18956,140,334,2,182,152,0.0769,0.1717,92,86.19488110891922,967,3,11617,9318,34057.79,29.38,1286.22,701.8,DDoS
2.8131531887789847,icmp,39718,609,92,1,243,20,0.8218,0.6925,69,60.41369700877021,2912,5,10475,10544,7142.43,990.09,734.48,3681.36,DDoS
4.057879774912149,udp,24492,494,453,2,230,225,0.8177,0.3744,73,115.14921920117686,950,9,12222,11718,28117.98,354.34,642.85,3080.37,BotNet
47.2090959398643,icmp,2414,3414,36,22,142,120,0.8697,0.0662,1301,106.60123250684333,92,17,37639,15852,85152.43,447.92,927.74,1766.47,BENIGN
30.797912910177764,udp,3758,3111,22,1,149,39,0.3752,0.0736,66,62.5365913112254,36,58,4081,48734,54462.47,27.26,844.75,3880.75,BENIGN
1.6067132071300372,icmp,12919,40,395,1,238,191,0.8603,0.1046,69,59.97243155732021,4235,2,41549,31478,81013.49,671.44,316.27,1278.8,BotNet
4.505149206987072,icmp,12035,495,231,1,165,138,0.8515,0.4328,96,42.711266334393144,5484,0,714,23421,67926.12,993.48,1022.48,91.86,BruteForce
2.289124778627103,udp,49045,565,208,2,87,210,0.9191,0.737,66,31.897110033881816,9575,3,13105,1568,97777.63,902.63,1379.36,1562.75,DDoS
4.1539416605382025,tcp,31517,285,289,3,239,139,0.8753,0.1711,46,74.03201594876224,2232,3,28207,30201,30873.11,279.5,508.3,2740.48,BruteForce
1.1158321714946458,udp,525,734,103,3,110,218,0.7107,0.6821,71,6.400121073877738,7771,9,29148,49289,36996.63,470.9,697.02,4562.11,DDoS
1.022654203161168,udp,31261,847,163,3,216,60,0.1982,0.5122,81,22.67045985441634,3905,7,9458,34835,47534.55,991.32,794.74,3451.74,BruteForce
0.08857852850497505,icmp,35845,756,286,4,95,50,0.352,0.9813,93,25.478158362704754,1027,7,18445,7143,85462.62,316.72,309.24,1597.91,PortScan
